Facility Name,Facility ID,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Meets criteria for meaningful use of EHRs,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison
Sparks City Hospital,NV00021,2540 Second Way,Sparks,NV,65323,Sparks County,(847) 604-9196,Children's Hospital,Proprietary,Yes,3,Yes,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average
Fernley Memorial Hospital,NV00022,2512 Park Dr,Fernley,NV,62773,Fernley County,(714) 775-3687,Acute Care Hospital,Voluntary non-profit - Church,Yes,Not Available,No,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Memorial Thomas Health Center,NV00023,6830 Second Dr,Elko,NV,83760,Elko County,(555) 756-4458,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,4,Yes,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Regional Elizabeth Health System,NV00024,6765 College St,Sparks,NV,10499,Sparks County,(276) 631-5679,Long-Term Care Hospital,Government - State,Yes,Not Available,Yes,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average
Elko University Hospital,NV00025,8478 Hospital St,Elko,NV,84913,Elko County,(978) 583-7200,Critical Access Hospital,Voluntary non-profit - Church,No,Not Available,Yes,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average
General Margaret Medical Center,NV00026,9193 Center Ave,Carson City,NV,72705,Carson City County,(430) 436-1652,Long-Term Care Hospital,Voluntary non-profit - Other,Yes,2,No,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Above the national average
Boulder City University Hospital,NV00027,5175 Third St,Boulder City,NV,87339,Boulder City County,(647) 347-7725,Psychiatric Hospital,Government - State,No,2,No,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average
St. Lisa City Hospital,NV00028,6993 Church Blvd,Boulder City,NV,89528,Boulder City County,(350) 560-4044,Rehabilitation Hospital,Voluntary non-profit - Other,No,4,No,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
Mount Lisa Children's Hospital,NV00029,7159 Washington Dr,Mesquite,NV,73505,Mesquite County,(955) 399-6003,Rehabilitation Hospital,Government - State,Yes,1,Yes,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Mount David Medical Center,NV00030,3718 Broadway Blvd,Carson City,NV,92636,Carson City County,(745) 922-4636,Long-Term Care Hospital,Government - State,No,3,No,Same as the national average,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average
Mesquite Regional Hospital,NV00031,7679 Hospital Way,Mesquite,NV,19107,Mesquite County,(361) 353-9395,Psychiatric Hospital,Voluntary non-profit - Private,Yes,3,Yes,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
Regional Elizabeth General Hospital,NV00032,9090 Healthcare Way,Mesquite,NV,40425,Mesquite County,(430) 907-2882,Psychiatric Hospital,Proprietary,Yes,2,Yes,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Memorial Daniel Community Hospital,NV00033,6114 Maple Dr,Las Vegas,NV,66961,Las Vegas County,(644) 748-1431,Acute Care Hospital,Proprietary,Yes,5,No,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
General Jose Clinic,NV00034,2401 Washington Dr,Sparks,NV,50085,Sparks County,(906) 405-6075,Children's Hospital,Voluntary non-profit - Private,No,3,No,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Nevada Healthcare,NV00035,4318 Main St,Mesquite,NV,83918,Mesquite County,(313) 391-3216,Acute Care Hospital,Government - Local,Yes,2,Yes,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Nevada Veterans Hospital,NV00036,2325 Broadway Dr,North Las Vegas,NV,70087,North Las Vegas County,(799) 913-3733,Long-Term Care Hospital,Government - State,Yes,Not Available,Yes,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average
Nevada County Hospital,NV00037,4300 Oak Blvd,Las Vegas,NV,99592,Las Vegas County,(833) 741-5416,Acute Care Hospital,Proprietary,Yes,Not Available,Yes,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Above the national average
Fernley University Hospital,NV00038,5642 Washington Way,Fernley,NV,36841,Fernley County,(585) 729-2235,Acute Care Hospital,Proprietary,Yes,3,Yes,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average
Nevada County Hospital,NV00039,8052 College Dr,Henderson,NV,20235,Henderson County,(975) 282-8622,Children's Hospital,Government - Federal,No,3,No,Same as the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
Las Vegas Regional Medical Center,NV00040,3659 College Blvd,Las Vegas,NV,44146,Las Vegas County,(834) 552-6575,Children's Hospital,Voluntary non-profit - Other,Yes,4,Yes,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average
Nevada General Hospital,NV00041,9142 Center Ave,Las Vegas,NV,81727,Las Vegas County,(964) 526-6236,Psychiatric Hospital,Government - Local,Yes,4,Yes,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Nevada Health Center,NV00042,8325 Park St,Reno,NV,13018,Reno County,(395) 628-6122,Children's Hospital,Voluntary non-profit - Other,Yes,4,No,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average
Nevada Clinic,NV00043,4337 Third Blvd,Fernley,NV,91814,Fernley County,(745) 891-7426,Psychiatric Hospital,Government - Federal,No,4,Yes,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Carson City Hospital,NV00044,9909 Hospital St,Carson City,NV,65753,Carson City County,(997) 448-5624,Children's Hospital,Proprietary,Yes,Not Available,Yes,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average
Nevada University Hospital,NV00045,3433 Washington Blvd,Elko,NV,86305,Elko County,(713) 575-2684,Rehabilitation Hospital,Voluntary non-profit - Other,Yes,3,No,Below the national average,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
